Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
"WEATHERSTON, Mr Thomas Herbert",1887,1912,25,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/thomas-herbert-weatherstone.html
"WEBB, Mr Brook Holden",1862,1912,50,Male,Victualling Crew,,,,Belfast,Smoke Room Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/brooke-holden-webb.html
"WEBB, Mr Samuel Francis",1883,1912,28,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/s-webb.html
"WEBBER, Mr Francis Albert",1881,1912,30,Male,Engineering Crew,,,,Southampton,Leading Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/francis-albert-webber.html
"WEIKMAN, Mr Augustus Henry",1860,1924,52,Male,Victualling Crew,,,,Southampton,Barber,SAVED,,,American,https://www.encyclopedia-titanica.org/titanic-survivor/augustus-henry-weikman.html
"WELCH, Mr William Harold",1890,1912,21,Male,Victualling Crew,,,,Southampton,Cook,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/w-welch.html
"WELLER, Mr William Clifford",1881,1954,30,Male,Deck Crew,,,,Belfast,Able-bodied Seaman,SAVED,7,,English,https://www.encyclopedia-titanica.org/titanic-survivor/william-clifford-weller.html
"WELSH, Mr Patrick",1862,,50,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/patrick-welsh.html
"WHEAT, Mr Joseph Thomas",1882,1961,30,Male,Victualling Crew,,,,Belfast,Assistant Second Steward,SAVED,11,,English,https://www.encyclopedia-titanica.org/titanic-survivor/joseph-thomas-wheat.html
"WHEELTON, Mr Edenser Edward",1884,1949,28,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),SAVED,11,,English,https://www.encyclopedia-titanica.org/titanic-survivor/edneser-ernest-edward-wheelton.html
"WHINNERY, Mr Hugh",1869,1942,42,Male,Engineering Crew,,,,Belfast,Leading Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/hugh-whinnery.html
"WHITE, Mr Albert",1895,1912,17,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/r-morell.html
"WHITE, Mr Alfred",1880,1922,32,Male,Engineering Crew,,,,Southampton,Greaser,SAVED,4,,English,https://www.encyclopedia-titanica.org/titanic-survivor/alfred-white.html
"WHITE, Mr Arthur",1875,1912,37,Male,Victualling Crew,,,,Southampton,Assistant Barber (1st Class),LOST,,247,English,https://www.encyclopedia-titanica.org/titanic-victim/arthur-white.html
"WHITE, Mr Edward Joseph",1884,1912,27,Male,Victualling Crew,,,,Southampton,Glory hole steward (3rd class),LOST,,272,English,https://www.encyclopedia-titanica.org/titanic-victim/edward-joseph-white.html
"WHITE, Mr Frank Leonard",1884,1912,27,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/frank-leonard-white.html
"WHITE, Mr Leonard Lisle Oliver",1880,1912,32,Male,Victualling Crew,,,,Belfast,Saloon Steward,LOST,,,Australian,https://www.encyclopedia-titanica.org/titanic-victim/leonard-lisle-oliver-white.html
"WHITE, Mr William George",1888,1927,23,Male,Engineering Crew,,,,Southampton,Trimmer,SAVED,15,,English,https://www.encyclopedia-titanica.org/titanic-survivor/william-george-white.html
"WHITELEY, Mr Thomas Arthur",1894,1944,18,Male,Victualling Crew,,,,Southampton,Saloon Steward,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/thomas-whiteley.html
"WHITFORD, Mr Alfred Henry",1872,1912,39,Male,Victualling Crew,,,,Southampton,"Saloon Steward, 2nd Class",LOST,,,Channel Islander,https://www.encyclopedia-titanica.org/titanic-victim/alfred-henry-whitford.html
"WIDGERY, Mr Isaac George",1875,1942,37,Male,Victualling Crew,,,,Southampton,Bath Steward,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/james-george-widgery.html
"WILDE, Mr Henry Tingle",1872,1912,39,Male,Deck Crew Titanic Officers,,,,Southampton,Chief Officer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/henry-tingle-wilde.html
"WILLIAMS, Mr Arthur John",1870,1912,42,Male,Victualling Crew,,,,Southampton,Storekeeper (1st Class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/arthur-williams.html
"WILLIAMS, Mr Samuel Solomon",1884,1912,28,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/samuel-williams.html
"WILLIAMS, Mr Walter John",1883,1971,28,Male,Victualling Crew,,,,Southampton,Saloon Steward (2nd class),SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/walter-john-williams.html
"WILLIAMSON, Mr James Bertram",1876,1912,35,Male,Victualling Crew Postal Clerk,,,,Southampton,Postal Clerk / Postman,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/james-bertram-williamson.html
"WILLIS, Mr William",1853,1912,59,Male,Victualling Crew,,,,Southampton,3rd Class Packer Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-willis.html
"WILLSHER, Mr William Aubrey",1878,1912,33,Male,Victualling Crew,,,,Southampton,Butcher,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-audrey-willsher.html
"WILSON, Mr Bertie",1884,1912,27,Male,Engineering Crew,,,,Belfast,Senior Assistant 2nd Engineer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/bertie-wilson.html
"WILTON, Mr William Edward",1858,1912,53,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-wilton.html
"WINDEBANK, Mr Alfred Edgar",1873,1961,38,Male,Victualling Crew Substitute Crew,,,,Southampton,Cook,SAVED,13,,English,https://www.encyclopedia-titanica.org/titanic-survivor/alfred-edgar-windebank.html
"WINSER, Mr Rowland",1876,1912,36,Male,Victualling Crew,,,,Southampton,Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/rowland-winser.html
"WITCHER, Mr Albert Ernest",1873,1912,39,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/albert-ernest-witcher.html
"WITT, Mr Henry Dennis",1874,1912,37,Male,Engineering Crew Substitute Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/henry-dennis-witt.html
"WITTER, Mr James William Cheetham",1880,1961,31,Male,Victualling Crew,,,,Southampton,Smoke Room Steward (2nd Class),SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/james-william-cheetham-witter.html
"WITTMAN, Mr Henry",1873,1912,38,Male,Victualling Crew,,,,Southampton,Bathroom Steward (1st Class),LOST,,315,Austrian,https://www.encyclopedia-titanica.org/titanic-victim/henry-wittman.html
"WITTS, Mr William Francis",1877,1912,35,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/frank-witts.html
"WOOD, Mr Henry",1881,1912,31,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/henry-wood.html
"WOOD, Mr James Thomas",1863,1912,49,Male,Victualling Crew,,,,Southampton,"Assistant Saloon Steward, 2nd Class",LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/james-thomas-wood.html
"WOODFORD, Mr Frederick Ernest",1871,1912,40,Male,Engineering Crew,,,,Southampton,Greaser,LOST,,163,English,https://www.encyclopedia-titanica.org/titanic-victim/frederick-woodford.html
"WOODMEY, Mr Robert",1871,,41,Male,Engineering Crew,,,,Belfast,Fireman,,,,Scottish,https://www.encyclopedia-titanica.org/titanic-biography/robert-woodmey.html
"WOODS, Mr Hugh",1881,1963,31,Male,Engineering Crew,,,,Belfast,Leading Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/hugh-woods.html
"WOODY, Mr Oscar Scott",1871,1912,41,Male,Victualling Crew Postal Clerk,,,,Southampton,Postal Clerk / Postman,LOST,,167,American,https://www.encyclopedia-titanica.org/titanic-victim/oscar-scott-woody.html
"WORMALD, Mr Henry Frederick Charles",1867,1912,45,Male,Victualling Crew,,,,Southampton,Saloon Steward,LOST,,144,English,https://www.encyclopedia-titanica.org/titanic-victim/frederick-william-wormald.html
"WORTHMAN, Mr William Henry",1875,1912,37,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/walter-jarvis.html
"WRAPSON, Mr Frederick Bernard",1893,1912,18,Male,Victualling Crew,,,,Belfast,Assistant Pantryman Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/frederick-bernard-wrapson.html
"WRIGHT, Mr Frederick",1888,1912,24,Male,Victualling Crew,,,,Southampton,Squash racquet court attendant,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/frederick-wright.html
"WRIGHT, Mr William",1864,1940,47,Male,Victualling Crew,,,,Southampton,Glory Hole Steward,SAVED,13,,English,https://www.encyclopedia-titanica.org/titanic-survivor/william-wright.html
